exercise_ssn,percent_never_correct,avg_submissions_per_student
317682-00496,19.354838709677423,7.895161290322581
317682-00495,18.43575418994413,16.027932960893853
317682-00473,17.808219178082197,12.35159817351598
00001-20934,14.973262032085566,9.529411764705882
00001-20882,14.438502673796794,10.149732620320856
317682-00488,13.372093023255815,10.122093023255816
317682-00480,11.267605633802813,8.429577464788732
00001-21217,9.638554216867467,6.879518072289157
317682-00491,8.571428571428575,5.664285714285715
317682-00363,8.502024291497978,7.712550607287449
317682-00481,8.148148148148149,5.874074074074074
317682-00490,8.108108108108103,10.464864864864865
00001-20937,7.692307692307687,6.6923076923076925
317682-00477,6.842105263157894,6.489473684210527
00001-20845,6.2893081761006275,7.786163522012578
00001-20884,6.185567010309279,9.860824742268042
317682-00493,6.015037593984962,6.383458646616542
